NumberOf Week;NumberOfTimeStepPresentWeek;HourPerWeek;OrderedHourPerWeek;CDF
1,00;278,00;23,17;1,33;0,02
2,00;252,00;21,00;13,17;0,04
3,00;275,00;22,92;14,33;0,06
4,00;224,00;18,67;14,50;0,08
5,00;224,00;18,67;14,92;0,10
6,00;311,00;25,92;16,25;0,12
7,00;270,00;22,50;16,92;0,13
8,00;269,00;22,42;17,08;0,15
9,00;203,00;16,92;17,50;0,17
10,00;254,00;21,17;17,75;0,19
11,00;223,00;18,58;17,75;0,21
12,00;213,00;17,75;17,75;0,23
13,00;172,00;14,33;18,08;0,25
14,00;217,00;18,08;18,08;0,27
15,00;245,00;20,42;18,50;0,29
16,00;287,00;23,92;18,58;0,31
17,00;210,00;17,50;18,67;0,33
18,00;255,00;21,25;18,67;0,35
19,00;158,00;13,17;19,58;0,37
20,00;319,00;26,58;19,83;0,38
21,00;247,00;20,58;20,08;0,40
22,00;235,00;19,58;20,33;0,42
23,00;311,00;25,92;20,42;0,44
24,00;281,00;23,42;20,58;0,46
25,00;296,00;24,67;20,75;0,48
26,00;222,00;18,50;21,00;0,50
27,00;255,00;21,25;21,17;0,52
28,00;364,00;30,33;21,25;0,54
29,00;238,00;19,83;21,25;0,56
30,00;213,00;17,75;21,42;0,58
31,00;205,00;17,08;21,92;0,60
32,00;244,00;20,33;22,42;0,62
33,00;217,00;18,08;22,50;0,63
34,00;306,00;25,50;22,67;0,65
35,00;272,00;22,67;22,92;0,67
36,00;195,00;16,25;23,17;0,69
37,00;213,00;17,75;23,25;0,71
38,00;249,00;20,75;23,33;0,73
39,00;297,00;24,75;23,42;0,75
40,00;241,00;20,08;23,92;0,77
41,00;306,00;25,50;24,58;0,79
42,00;279,00;23,25;24,67;0,81
43,00;257,00;21,42;24,75;0,83
44,00;174,00;14,50;25,50;0,85
45,00;321,00;26,75;25,50;0,87
46,00;312,00;26,00;25,92;0,88
47,00;263,00;21,92;25,92;0,90
48,00;280,00;23,33;26,00;0,92
49,00;295,00;24,58;26,33;0,94
50,00;316,00;26,33;26,58;0,96
51,00;179,00;14,92;26,75;0,98
52,00;16,00;1,33;30,33;1,00
;0,00;;;
